Date,RELIANCE.NS,TCS.NS,HDFCBANK.NS,INFY.NS
5/24/2021,0.20772338,0.225130197,0.321635099,0.153640261
5/25/2021,0.210129705,0.226041695,0.326420302,0.155533745
5/26/2021,0.207833893,0.230669942,0.325442875,0.174979672
5/27/2021,0.177295091,0.222538434,0.301952089,0.173016272
5/28/2021,0.241704754,0.182076087,0.297111588,0.162702036
5/31/2021,0.254918443,0.148041712,0.292405379,0.141909322
6/1/2021,0.253217587,0.146649454,0.292599843,0.141742338
6/2/2021,0.248016439,0.145085411,0.29066335,0.142371161
6/3/2021,0.24755879,0.144627078,0.287119533,0.141206827
6/4/2021,0.250675272,0.142447977,0.284783139,0.141667242
6/7/2021,0.252449002,0.146222612,0.283966419,0.135269785
6/8/2021,0.251648151,0.14630738,0.285497428,0.141188113
6/9/2021,0.251346068,0.143932609,0.277873452,0.141105366
6/10/2021,0.251322227,0.144074983,0.267417705,0.141298561
6/11/2021,0.252961825,0.151144421,0.267443863,0.146668722
6/14/2021,0.249146766,0.126411874,0.236588042,0.147829035
6/15/2021,0.240376646,0.127824205,0.237169031,0.147947933
6/16/2021,0.236206156,0.12776641,0.22988751,0.135091243
6/17/2021,0.236205575,0.12635355,0.232469326,0.135381052
6/18/2021,0.236196507,0.128532092,0.233407887,0.131476403
6/21/2021,0.235818125,0.130544593,0.232525956,0.128961241
6/22/2021,0.236570802,0.131920936,0.232894801,0.122866571
6/23/2021,0.240084673,0.135497327,0.229613367,0.122192126
6/24/2021,0.250233216,0.159199248,0.231709799,0.151787675
6/25/2021,0.260781092,0.15288481,0.229282498,0.146405139
6/28/2021,0.261481246,0.160126906,0.204908031,0.147732901
6/29/2021,0.259092869,0.159898783,0.192472592,0.151298144
6/30/2021,0.26033401,0.159257791,0.188630287,0.150370016
7/1/2021,0.260382693,0.156920771,0.182129855,0.159710735
7/2/2021,0.262334636,0.158171685,0.130236026,0.158757039
7/5/2021,0.261262759,0.158463145,0.131306921,0.155958315
7/6/2021,0.261496078,0.164424219,0.137289699,0.162295357
7/7/2021,0.262991249,0.16019736,0.137141121,0.149903508
7/8/2021,0.264801141,0.160284366,0.142773177,0.15111401
7/9/2021,0.206205933,0.163399096,0.142273132,0.151193348
7/12/2021,0.185287938,0.163604363,0.143072453,0.156221132
7/13/2021,0.186385736,0.163579888,0.146031959,0.155139241
7/14/2021,0.180878941,0.16344452,0.145354548,0.159713076
7/15/2021,0.18013002,0.163345997,0.147824245,0.159468114
7/16/2021,0.184834803,0.163619916,0.142500254,0.169025204
7/19/2021,0.177482119,0.160012005,0.174829235,0.173002846
7/20/2021,0.177109205,0.160433076,0.180418733,0.168581507
7/22/2021,0.174982451,0.160692452,0.180873797,0.180637754
7/23/2021,0.175413623,0.160049744,0.181129453,0.180796111
7/26/2021,0.170267158,0.15166051,0.181209454,0.177770547
7/27/2021,0.164643282,0.151996677,0.181361333,0.176981538
7/28/2021,0.164672338,0.152495707,0.184717597,0.176322101
7/29/2021,0.162245049,0.151988401,0.184694533,0.17668597
7/30/2021,0.162711609,0.14785107,0.182692414,0.176535356
8/2/2021,0.172526149,0.155743869,0.180235858,0.17898828
8/3/2021,0.173448149,0.165640764,0.18121408,0.181512526
8/4/2021,0.175570366,0.164004823,0.192101817,0.182080105
8/5/2021,0.180271928,0.160271295,0.196044437,0.180222967
8/6/2021,0.177776606,0.127359847,0.192347821,0.15023798
8/9/2021,0.165810725,0.127784444,0.192855246,0.1495733
8/10/2021,0.164640576,0.1224686,0.192541592,0.15038215
8/11/2021,0.1694843,0.122742473,0.194143605,0.148720911
8/12/2021,0.16685999,0.122839683,0.194399607,0.147035313
8/13/2021,0.172482344,0.154894419,0.198598474,0.143088579
8/16/2021,0.171278968,0.153861866,0.198067486,0.144692665
8/17/2021,0.169578341,0.165437926,0.19892261,0.154261703
8/18/2021,0.165917961,0.154026189,0.183674549,0.150511784
8/20/2021,0.168124671,0.154291943,0.183428118,0.150807702
8/23/2021,0.166794472,0.161648882,0.180935608,0.149779202
8/24/2021,0.165051948,0.154301973,0.187972598,0.155053505
8/25/2021,0.165761874,0.153934016,0.185056317,0.150820663
8/26/2021,0.167912055,0.152799648,0.183532218,0.151885237
8/27/2021,0.166281091,0.15434316,0.183972772,0.149100206
8/30/2021,0.172806202,0.156004284,0.183050182,0.151361296
8/31/2021,0.170876462,0.16270248,0.184277409,0.14088037
9/1/2021,0.168965677,0.176153199,0.15069401,0.14858352
9/2/2021,0.170404398,0.192909759,0.136546665,0.148836631
9/3/2021,0.199971495,0.193220542,0.14045458,0.133059598
9/6/2021,0.199793774,0.192352867,0.141691578,0.139871399
9/7/2021,0.191950547,0.195073692,0.139438411,0.146802042
9/8/2021,0.188071428,0.198920934,0.139500568,0.149410559
9/9/2021,0.184802521,0.198925354,0.130113503,0.149631879
9/13/2021,0.202080108,0.199459602,0.134308466,0.14882777
9/14/2021,0.198849713,0.194581314,0.135816782,0.148636997
9/15/2021,0.19496118,0.195139118,0.135357572,0.150010902
9/16/2021,0.200414776,0.199167522,0.135368757,0.146255056
9/17/2021,0.208950881,0.210766435,0.12850561,0.147253833
9/20/2021,0.20683965,0.211487433,0.133191645,0.147385592
9/21/2021,0.19250367,0.211879629,0.134123784,0.155365128
9/22/2021,0.190657649,0.212423616,0.137997425,0.154228505
9/23/2021,0.198377551,0.212572885,0.152906307,0.157987344
9/24/2021,0.198435916,0.212897893,0.159059189,0.1610466
9/27/2021,0.199384496,0.216523336,0.162938725,0.17702915
9/28/2021,0.197152259,0.206502011,0.159496798,0.182511633
9/29/2021,0.199812372,0.206505693,0.165338734,0.182368853
9/30/2021,0.199481014,0.198636026,0.161522408,0.172233476
10/1/2021,0.199683794,0.202799446,0.163649435,0.172498521
10/4/2021,0.194749278,0.204733401,0.163650523,0.174658443
10/5/2021,0.199387349,0.200485054,0.163553396,0.176343133
10/6/2021,0.21210805,0.200201344,0.154831893,0.176877883
10/7/2021,0.211876027,0.205791185,0.155131998,0.177823387
10/8/2021,0.231151934,0.207358635,0.155912114,0.186691644
10/11/2021,0.233274811,0.283418603,0.163754193,0.19235019
10/12/2021,0.229879106,0.28419899,0.160864688,0.191755528
10/13/2021,0.22797313,0.275621351,0.16010827,0.195754098
10/14/2021,0.228185052,0.271770919,0.178758108,0.189214832
10/18/2021,0.227602491,0.255281686,0.18185143,0.225896858
10/19/2021,0.202909087,0.255178392,0.181305578,0.229471571
10/20/2021,0.205333782,0.255259862,0.182375018,0.22799058
10/21/2021,0.226072014,0.260538507,0.182388369,0.2389706
10/22/2021,0.225288735,0.260166082,0.182259176,0.244973344
10/25/2021,0.227721137,0.259329768,0.187306963,0.245951863
10/26/2021,0.222332431,0.254393343,0.185313975,0.246617375
